product_name,id,tag,tag 2,tag 3,point_flag,more_msg,point,date,txt,txt 2,txt 3,txt_inner,ico_offlineStore,tag 4
에스트라 아토베리어365하이드로에센스,superhuman1,건성,웜톤,주름,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.06.28,건성에 좋아요,보습에 좋아요,자극없이 순해요,오래전부터 꾸준히 쓰는 이제품 발림성도 좋고 흡수도잘됩니다!,,
에스트라 아토베리어365하이드로에센스,올멩,복합성,모공,민감성,,,5점만점에 4점,2025.06.24,지성에 좋아요,진정에 좋아요,보통이에요,건복합성으로서 느끼기에는 지성분들이 좋아할 것 같았어요 별로 촉촉하진 않거든요안에 피부장벽에 좋은 성분들 많이 들어가있다고 하는데 제 얼굴이랑은 안맞더라구요참고로 에스트라 히알루론산 앰플 제 최애예요그런데 이 제품은 얼굴에 바르기에는 수분(or유분)이 부족하다고 느껴져서 오일이나 비타민c 앰플 섞어서 몸에 막 바르고 있어요 속수분에서 에스트라 히알루론산 앰플 vs 하이드로 에센스이렇게 비교하면 무조건 앰플이 승이에요,매장,
에스트라 아토베리어365하이드로에센스,화장품에진심인살암,지성,봄웜톤,다크서클,,,5점만점에 5점,2025.06.08,건성에 좋아요,보습에 좋아요,자극없이 순해요,발림성 좋고 건성 분들은 보습 채우기 딱입니다! 지성분들은 양조절 잘 하시면 될 듯 싶어요 기획 세트라 다양하게 써볼 수 있어 좋아요,,모공
에스트라 아토베리어365하이드로에센스,화장품에진심인살암,지성,봄웜톤,다크서클,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.07.09,건성에 좋아요,보습에 좋아요,자극없이 순해요,기획세트라 여행 갈 때 이 샘플들 잘 챙겨갈 거 같고 순하면서 막 찐득거림 이런 게 아니라 좋아요!,,모공
에스트라 아토베리어365하이드로에센스,감성감성민감성,,,,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.07.08,건성에 좋아요,보습에 좋아요,자극없이 순해요,토너 단계를 생략하고 앰플을 젤 먼저 발랐는데좀 건조함이 느껴져서 보습용으로 이거 바르기 시작했어요.훨씬 더 촉촉하고 앰플도 잘 먹는 것 같아요.겨울철에도 토너 대신 사용하기 좋고재구매할 겁니다.콧물스킨 같은 쫀쫀한 제형이에요!건성은 강추!,,
에스트라 아토베리어365하이드로에센스,찾잼베이스,복합성,웜톤,각질,,,5점만점에 5점,2025.07.08,복합성에 좋아요,보습에 좋아요,자극없이 순해요,상품은 좋아요 보습 및 피부 회복에 효과 있습니다 근데 배송 상태가 진짜 별로입니당...,,다크서클
에스트라 아토베리어365하이드로에센스,뿌꾸깜돌,건성,웜톤,블랙헤드,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.07.06,복합성에 좋아요,보습에 좋아요,자극없이 순해요,에스트라 아토베리어 365 하이드로 에센스 200ml 사용 해 보니 피부과 촉촉해 지는 느낌입니다.너무 좋아서 지인분한테 추천해 주고 싶은 제품입니다.잘 사용하고 있습니다.~,,트러블
에스트라 아토베리어365하이드로에센스,쟈그라,건성,웜톤,미백,,,5점만점에 5점,2025.07.02,건성에 좋아요,보습에 좋아요,자극없이 순해요,구성이 아주좋고 피부에 흡수가 빠르며 속건조를 잘잡아줘요.,,블랙헤드
에스트라 아토베리어365하이드로에센스,차곡차곡,건성,여름쿨톤,모공,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.,5점만점에 5점,2025.06.22,건성에 좋아요,보습에 좋아요,자극없이 순해요,✔️흡수 잘 되고 끈적임은 없는데 보습력 좋고 민감성이면서 속건조가 있는 피부라면 강추 !!!진짜 최고예요 ‼️,,민감성
에스트라 아토베리어365하이드로에센스,lucky****,민감성,쿨톤,모공,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.07.08,복합성에 좋아요,보습에 좋아요,자극없이 순해요,자극없이 매우 순해요.양을 적게 써도 엄청 잘 펴발라지고수분감이 엄청 가득해서 얼굴이 엄청 촉촉해요근데 수분만 있는 것도 아니고 보습까지 잘 챙겨주는 제품이라매우 만족해요한 2방울 정도면 얼굴에 잘 펴발라져요근데 많이 쓰게되면 흡수가 더뎌서 흡수시키는 데 오래 걸려요적당양 사용하면 최고예요,매장,미백
에스트라 아토베리어365하이드로에센스,JWW328,복합성,가을웜톤,다크서클,,,5점만점에 5점,2025.06.17,복합성에 좋아요,보습에 좋아요,자극없이 순해요,유튜브에서 좋다고 추천하길래 사봤는데 진짜 갓갓 에센스예요. 너무 좋아서 쓰다가 한병 더 쟁여두고 주변에도 추천중입니다. 촉촉하고 피부진정에도 너무 좋아요. 복합성 기준 사계절 다 쓰기 좋아요. 겨울에는 이것만 쓰기는 좀 건조해서 다른 제품이랑 같이 사용했어요.,,모공
에스트라 아토베리어365하이드로에센스,챤챤,,,,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.07.08,건성에 좋아요,보습에 좋아요,자극없이 순해요,수분감이 가득 해서 좋아요. 사계절 내내 바르기 좋습니다.,,
에스트라 아토베리어365하이드로에센스,수밍배,복합성,겨울쿨톤,각질,,,5점만점에 5점,2025.06.12,복합성에 좋아요,진정에 좋아요,보통이에요,로션쓰기 조금 무거운거갘은날 쓰기 좋아요보습감은 채워주는데 끈적임이 없어요,,모공
에스트라 아토베리어365하이드로에센스,피부특공대,민감성,쿨톤,각질,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.06.08,건성에 좋아요,보습에 좋아요,자극없이 순해요,피부 푸석푸석할때 듬뿍듬뿍바르기 좋아요;) 꾸덕한 앰플제형이라 가볍지만은 않게 수분 채워주니 좋아뇨:)메이크업 전에 여러번 레이어링하고 마무리하면건조하지도 않고 밀리지도 않아서 만족스러웠어요!!,,모공
에스트라 아토베리어365하이드로에센스,정E,건성,쿨톤,다크서클,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.06.28,건성에 좋아요,보습에 좋아요,자극없이 순해요,"2024년 11월 30일에 25,600원에 구매하였습니다!현재는 세일을 안 하는 중이루 32,000원이네요.에스트라 기초라인 제품을 꾸준히 사용 중 이어서하이드로에센스도 재구매하였네요.에센스를 세안 후에 가볍게 발라주어도 피부 속 깊은 곳부터 수분이 채워지는 느낌이에요.저는 에센스를 한번만 바르는 편이 아니라 꼭 2번 이상 레이어링 해주고 있습니다.대신 이후이 수분크림을 얇게 발라줘요.(나이트 케어 때는 두껍게!)여름에 바르기에도 답답함 없으니까 올 여름 에스트라 하이드로에센스로 나보세요 💝",매장,모공
에스트라 아토베리어365하이드로에센스,감성감성민감성,,,,,,5점만점에 5점,2025.06.08,복합성에 좋아요,보습에 좋아요,자극없이 순해요,유튭에서 피부과 의사들이 토너 단계를 생략하고 앰플만 쓴다고 하는 분이 몇 분 있어서 저도 따라해 봤더니 속건조가 심해지더라고요.어떤 분 추천 보고 사봤는데 앰플 전단계로좀더 묽은 정도로 바르기 좋고 촉촉해요.간절기와 겨울에 더 일찍 샀어야 했어요.,,
에스트라 아토베리어365하이드로에센스,뭐어,,,,,,5점만점에 3점,2025.07.04,복합성에 좋아요,보습에 좋아요,보통이에요,촉촉하게 스며들고 민감한 피부에도 자극 없어서 매일 사용하고 있어요,매장,
에스트라 아토베리어365하이드로에센스,GINAs,,,,,,5점만점에 5점,2025.07.01,복합성에 좋아요,진정에 좋아요,자극없이 순해요,오랫동안 사용한 제품이여서 믿고 쟁여둡니다순하고 촉촉해요 온가족이 사용하니 금세 쓰네요,,
에스트라 아토베리어365하이드로에센스,꿀먹은푸우,,,,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.06.29,복합성에 좋아요,진정에 좋아요,보통이에요,민감한 피부인데 너무 잘 맞아서 좋습니다!!재구매 의사 있어요!,,
에스트라 아토베리어365하이드로에센스,썸미,복합성,쿨톤,민감성,,,5점만점에 5점,2025.06.07,복합성에 좋아요,보습에 좋아요,보통이에요,보습에 좋다는 후기를 보고 구매했어요 촉촉하니 좋은거같아요,,블랙헤드
에스트라 아토베리어365하이드로에센스,이견,건성,웜톤,트러블,,,5점만점에 5점,2025.06.03,건성에 좋아요,보습에 좋아요,자극없이 순해요,매번 주문하는 제품입니다 보습도 좋은거같아요 배송도 빨라요,,
에스트라 아토베리어365하이드로에센스,이견,건성,웜톤,트러블,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.,5점만점에 5점,2025.06.03,건성에 좋아요,보습에 좋아요,자극없이 순해요,매번 쓰는 제품입니다 보습이랑 진정 모두 좋은거같아요 재구매하겠습니다!!,,
에스트라 아토베리어365하이드로에센스,뿌꾸깜돌,건성,웜톤,블랙헤드,,,5점만점에 5점,2025.06.02,복합성에 좋아요,보습에 좋아요,자극없이 순해요,에스트라 아토베리어 365 하이드로 에센스 지인분이 추천해 주셔서 구매 했는데 정말 좋은것 같아요.꾸준히 사용 해 보고 가족이나 지인분한테 추천해 주고 싶습니다.잘 쓰겠습니다.~,,트러블
에스트라 아토베리어365하이드로에센스,보고미,약건성,봄웜톤,다크서클,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 4점,2025.05.31,건성에 좋아요,보습에 좋아요,자극없이 순해요,보습에 좋다고 해서 벌써 몇 년째 쓰고 있어요 만족합니다 ~~~,매장,주름
에스트라 아토베리어365하이드로에센스,이히요요,트러블성,쿨톤,블랙헤드,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.05.19,건성에 좋아요,보습에 좋아요,자극없이 순해요,진짜 화잘먹 치트키입니다 물같은 제형인데도 흡수가 너무 빨라요,,트러블
에스트라 아토베리어365하이드로에센스,여지니영,트러블성,여름쿨톤,트러블,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.05.13,복합성에 좋아요,보습에 좋아요,자극없이 순해요,속보습용 에센스로 제일 좋아요 기름지지 않고 속보습만 채워줌,매장,피지과다
에스트라 아토베리어365하이드로에센스,핑크요거트,건성,웜톤,모공,,,5점만점에 5점,2025.06.26,건성에 좋아요,보습에 좋아요,자극없이 순해요,이거 안쓰면 턱라인에 접촉성피부염? 같은 건조해서 생기는 그런게 생기더라고요..? ㅜㅜ 화장품 다이어트한답시고 이거 안쓰기 시작했다가 딱 그런 건조한 피부염이 생겨서 이거 다시 쓰니 하루만에 없어졌다는...영원히 에스트라해🤟😼🤟 지성동생도 이거 잘 맞아서 잘 쓰고 있어요. 진짜 피부타입 상관없이 보습은 중요!! 벌써 이거 쓴지 3년차정도 되는것 같습니다 그리고 항상 증정있어서 좋아요ㅎㅎ,매장,민감성
에스트라 아토베리어365하이드로에센스,하프문쓰,복합성,가을웜톤,모공,,,5점만점에 5점,2025.06.20,건성에 좋아요,보습에 좋아요,자극없이 순해요,"묽은 우윳빛 제형이지만 흡수가 정말 빠르고 끈적임 전혀 없이 ‘쫙’ 스며들어요속은 촉촉하게 차오르고 겉은 보송한 마무리감 덕분에 T존에도 부담 없네요  특히 민감·수부지 피부에도 자극 없이 편안하고, 피부장벽 강화와 수분 충전력이 좋아서 사계절 내내 안심하고 쓸 수 있었습니다 ~! 가성비도 괜찮고 펌핑 타입이라 깔끔한 사용감까지 만족스러워요",,미백
에스트라 아토베리어365하이드로에센스,예뻐져라예뻐져,복합성,웜톤,각질,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 4점,2025.06.14,복합성에 좋아요,보습에 좋아요,보통이에요,"올리브영에서는 늘 아무래도 세일품목에 구매하게 되죠,, 대기업^^이니만큼 이런저런 세일좀 많이 부탁드리는 바입니다^^ 예전처럼 일정금액 이상에 나오는 증정품은 요새는 늘 보면 금방금방 <증정소진완료>가 떠서 참으로..아쉽고 서운하더라구요. 올리브영 댁배박스에 덜렁 구매품목만 덩그러니 온걸 열면 조금은^^ 서운한 마음이^^ 저만 그런가요?쿠* 등 다른 온라인 매체에서 더 싸게 팔아도 올리브영에 대한 신뢰도로 구매하게 되는데 증정품도 금방 소진, 쿠폰도 전보다는 좀 야박하다는 느낌이네요.. 이런저런 할인률이 아쉬운건 사실입니다. 조금 개선해주시길 바래봅니다.. 아 한가지 더 개선의견은 리뷰 페이지가 늘 오류가 많아요.. 늘 <리뷰등록하기 버튼>이 잘 안먹힙니다.. 이것도 저만 그럴까요? 에스트라는 뭐 이젠.. 국민템이라고해야하나요.. ㅎㅎ 순하고 다 좋습니다. 저는 갠적으로 크림보다 이 스킨에센스가 더 만족스러웠는데요. 다만 조금 많이 발랐을때는 눈시림이 있어 당황했습니다..보습감도 좋고 뭔가진짜 스킨으로도 장벽이 스근~하게 보호되는 느낌이랄까요.. 아주 지성이 아닌분들한테는 누구라도 적당하게 잘 맞을것같아요..(저는 지복합 수부지)",,모공
에스트라 아토베리어365하이드로에센스,봄뮤,복합성,봄웜톤,모공,,,5점만점에 5점,2025.06.14,복합성에 좋아요,진정에 좋아요,보통이에요,"장점 :피부 장벽 강화와 수분 보충에 특화된 제품으로, 에센스, 크림, 앰플이 함께 구성되어 효과가 배가됩니다. 자극 없이 순하며 민감한 피부도 안심하고 사용할 수 있습니다.특징 :피부 본연의 수분 유지 기능을 돕는 세라마이드와 히알루론산 성분을 풍부하게 함유해 촉촉하고 건강한 피부로 가꾸어 줍니다. 가벼운 제형이지만 보습력은 뛰어나며 산뜻하게 흡수됩니다.효과 :꾸준히 사용하면 피부 건조와 가려움 완화에 도움을 주며, 피부결이 부드럽고 탄탄해지는 느낌을 받을 수 있습니다. 민감성 피부 개선에도 효과적입니다.후기 :민감한 피부인데도 자극 없이 촉촉하게 잘 맞았고, 세트로 사용하니 피부가 훨씬 안정되고 건강해졌어요. 특히 건조할 때 진정 효과가 좋아 재구매 의사 있습니다.한줄평 :민감한 피부도 안심하고 쓸 수 있는 촉촉한 보습 세트, 피부 장벽 강화에 탁월해요.",매장,미백
에스트라 아토베리어365하이드로에센스,탕진탕진탕진,복합성,웜톤,모공,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.06.13,복합성에 좋아요,보습에 좋아요,자극없이 순해요,"✅ 수부지 강추💦 r e v i e w- 묽고 가벼운 질감, 발림성 좋고 흡수 잘됨- 끈적임 없이 촉촉한 마무리감- '속건조'에 효과적인 느낌- 개인적으로 여름엔 크림 대용으로 사용해도 괜찮을 듯- 민감성인데 자극 없고 붉어지지 않음- 향은 거의 없다고 보면 됨 (향에 예민한 분도 사용 가능)- 화장 전에 발라도 베이스 안 밀림- 가격은 좀 비싸지만, 아깝지 않은 제품- 참고로 에스트라 수분크림도 좋으니 추천!- 재구매 의사 ⭕",,민감성
